 fid  f  fff type   fft     x         y
   1  1   1  spoke   1    16.3621998   11.7448006 
   2  1   2  spoke   2    28.6942005   18.1138000
   3  1   3  spoke   3    41.1809998   25.9354000
   4  1   4  spoke   4    55.6375999   34.6226006
   5  1   5  spoke   5    68.9986038   42.1916008
   6  1   6  spoke   6    82.0193939   49.9280014
   7  1   7  spoke   7    95.6326675   57.6666679
   8  1   8  spoke   8   109.7073975   66.2154007
   9  1   9  spoke   9   124.1549988   74.8778000
  10  1  10  spoke  10   137.9936066   82.2866058
  11  1  11  spoke  11   151.4003906   90.7440033
  12  1  12  spoke  12   164.6968079   98.7531967
  13  1  13  spoke  13   178.5547943  107.2798004
  14  1  14  spoke  14   193.0923920  115.8270035
  15  1  15  edge    1   198.6109924  102.4313965
  16  1  16  edge    2   198.9609985   85.7839966
  17  1  17  edge    3   198.6653900   69.9382019
  18  1  18  edge    4   199.2619934   54.4434013
  19  1  19  edge    5   199.3710022   38.1283989
  20  1  20  edge    6   199.6206055   21.9925995
  21  1  21  edge    7   199.2075958    5.5469999
  22  1  22  edge    8   199.1710052   -9.9306002
  23  1  23  edge    9   198.8549957  -25.7704010
  24  1  24  edge   10   199.8153992  -41.9328003
  25  1  25  edge   11   199.9685974  -57.8204002
  26  1  26  edge   12   199.7294006  -73.7141953
  27  1  27  edge   13   199.9309998  -90.0411987
  28  1  28  edge   14   200.2835999 -106.1638031
  29  1  29  agfid   1   227.1641998  -65.8880005
  30  1  30  agfid   2   225.4510040   71.8876038
  31  1  31  agfid   3   170.3130035  165.6161957
  32  1  32  agfid   4    51.7000008  233.0599976
 fid  f  fff type   fft     x         y
  33  2   1  spoke   1   -18.4771996    9.9460001
  34  2   2  spoke   2   -31.4144001   18.0363998
  35  2   3  spoke   3   -46.0208015   25.8644009
  36  2   4  spoke   4   -59.5792007   33.2169991
  37  2   5  spoke   5   -73.2726059   41.6566010
  38  2   6  spoke   6   -87.6683960   49.0095978
  39  2   7  spoke   7  -100.7919998   57.3964005
  40  2   8  spoke   8  -115.0139999   65.1452026
  41  2   9  spoke   9  -129.0675964   73.4038010
  42  2  10  spoke  10  -142.4275970   81.1082001
  43  2  11  spoke  11  -156.6213989   89.3883972
  44  2  12  spoke  12  -170.6799927   97.1009979
  45  2  13  spoke  13  -184.2091980  104.3870010
  46  2  14  spoke  14  -197.7063904  112.6648026
  47  2  15  edge    1  -175.6748047  132.1002045
  48  2  16  edge    2  -161.3677979  139.9470062
  49  2  17  edge    3  -147.7931976  148.1927948
  50  2  18  edge    4  -134.3827972  156.6306000
  51  2  19  edge    5  -119.9221954  164.4730072
  52  2  20  edge    6  -106.2850037  171.9539948
  53  2  21  edge    7   -92.6513977  180.6602020
  54  2  22  edge    8   -78.4375992  188.6152039
  55  2  23  edge    9   -65.8712006  196.6302032
  56  2  24  edge   10   -51.4620018  205.0079956
  57  2  25  edge   11   -37.3038025  212.7709961
  58  2  26  edge   12   -27.713      216.000    
  59  2  27  edge   13   -13.856      224.000    
  60  2  28  edge   14    -6.928      228.000    
  61  2  29  agfid   1   -57.9598007  232.6674042
  62  2  30  agfid   2  -175.6860046  164.7442017
  63  2  31  agfid   3  -230.4203949   67.8651962
  64  2  32  agfid   4  -229.3601990  -68.2666016
 fid  f  fff type   fft     x         y
  65  3   1  spoke   1    -2.3724000  -17.0545998
  66  3   2  spoke   2    -2.1982000  -33.2803993
  67  3   3  spoke   3    -2.2136667  -48.9543343
  68  3   4  spoke   4    -1.7420000  -65.1898041
  69  3   5  spoke   5    -1.4880000  -81.3236008
  70  3   6  spoke   6    -1.9060000  -97.0457993
  71  3   7  spoke   7    -1.6556000 -113.4609985
  72  3   8  spoke   8    -0.9916000 -129.4609985
  73  3   9  spoke   9    -1.2688000 -145.1829987
  74  3  10  spoke  10    -1.3168000 -160.6338043
  75  3  11  spoke  11    -1.0132000 -177.3211975
  76  3  12  spoke  12    -1.4062001 -192.5928040
  77  3  13  spoke  13    -1.0592000 -208.2908020
  78  3  14  spoke  14    -0.2460000 -225.4819946
  79  3  15  edge    1   -13.8319998 -222.0926056
  80  3  16  edge    2   -27.4179993 -215.0941925
  81  3  17  edge    3   -41.6125984 -207.5216064
  82  3  18  edge    4   -55.5858002 -199.4846039
  83  3  19  edge    5   -69.7783966 -191.3066101
  84  3  20  edge    6   -83.4596024 -183.4843903
  85  3  21  edge    7   -97.3209991 -175.4203949
  86  3  22  edge    8  -111.2610016 -167.8027954
  87  3  23  edge    9  -125.4298019 -159.7288055
  88  3  24  edge   10  -139.1029968 -151.9226074
  89  3  25  edge   11  -152.8726044 -143.8912048
  90  3  26  edge   12  -167.1976013 -135.7351990
  91  3  27  edge   13  -181.3209991 -128.3233948
  92  3  28  edge   14  -194.6921997 -120.3113937
  93  3  29  agfid   1  -174.5245972 -166.6860046
  94  3  30  agfid   2   -55.5660019 -231.1660004
  95  3  31  agfid   3    54.6780014 -230.5915985
  96  3  32  agfid   4   172.2920074 -161.3336029
