 fid  f  fff type   fft     x         y
   1  1   1  spoke   1   -15.588     9.000
   2  1   2  spoke   2   -29.445    17.000
   3  1   3  spoke   3   -43.301    25.000
   4  1   4  spoke   4   -57.158    33.000
   5  1   5  spoke   5   -71.014    41.000
   6  1   6  spoke   6   -84.870    49.000
   7  1   7  spoke   7   -98.727    57.000
   8  1   8  spoke   8  -112.583    65.000
   9  1   9  spoke   9  -126.440    73.000
  10  1  10  spoke  10  -140.296    81.000
  11  1  11  spoke  11  -154.153    89.000
  12  1  12  spoke  12  -168.009    97.000
  13  1  13  spoke  13  -181.865   105.000
  14  1  14  spoke  14  -195.722   113.000
  15  1  15  edge    1  -200.918   100.000
  16  1  16  edge    2  -200.918    84.000
  17  1  17  edge    3  -200.918    68.000
  18  1  18  edge    4  -200.918    52.000
  19  1  19  edge    5  -200.918    36.000
  20  1  20  edge    6  -200.918    20.000
  21  1  21  edge    7  -200.918     4.000
  22  1  22  edge    8  -200.918   -12.000
  23  1  23  edge    9  -200.918   -28.000
  24  1  24  edge   10  -200.918   -44.000
  25  1  25  edge   11  -200.918   -60.000
  26  1  26  edge   12  -200.918   -76.000
  27  1  27  edge   13  -200.918   -92.000
  28  1  28  edge   14  -200.918  -108.000
  29  1  29  agfid   1  -228.631   -68.000
  30  1  30  agfid   2  -228.631    68.000
  31  1  31  agfid   3  -173.205   164.000
  32  1  32  agfid   4   -55.426   232.000
 fid  f  fff type   fft     x         y
  33  2   1  spoke   1    15.588     9.000
  34  2   2  spoke   2    29.445    17.000
  35  2   3  spoke   3    43.301    25.000
  36  2   4  spoke   4    57.158    33.000
  37  2   5  spoke   5    71.014    41.000
  38  2   6  spoke   6    84.870    49.000
  39  2   7  spoke   7    98.727    57.000
  40  2   8  spoke   8   112.583    65.000
  41  2   9  spoke   9   126.440    73.000
  42  2  10  spoke  10   140.296    81.000
  43  2  11  spoke  11   154.152    89.000
  44  2  12  spoke  12   168.009    97.000
  45  2  13  spoke  13   181.865   105.000
  46  2  14  spoke  14   195.722   113.000
  47  2  15  edge    1   173.205   132.000
  48  2  16  edge    2   159.349   140.000
  49  2  17  edge    3   145.492   148.000
  50  2  18  edge    4   131.636   156.000
  51  2  19  edge    5   117.779   164.000
  52  2  20  edge    6   103.923   172.000
  53  2  21  edge    7    90.067   180.000
  54  2  22  edge    8    76.210   188.000
  55  2  23  edge    9    62.354   196.000
  56  2  24  edge   10    48.497   204.000
  57  2  25  edge   11    34.641   212.000
  58  2  26  edge   12    27.713   216.000
  59  2  27  edge   13    13.856   224.000
  60  2  28  edge   14     6.928   228.000
  61  2  29  agfid   1    55.426   232.000
  62  2  30  agfid   2   173.205   164.000
  63  2  31  agfid   3   228.631    68.000
  64  2  32  agfid   4   228.631   -68.000
 fid  f  fff type   fft     x         y
  65  3   1  spoke   1     0.000   -18.000
  66  3   2  spoke   2     0.000   -34.000
  67  3   3  spoke   3     0.000   -50.000
  68  3   4  spoke   4     0.000   -66.000
  69  3   5  spoke   5     0.000   -82.000
  70  3   6  spoke   6     0.000   -98.000
  71  3   7  spoke   7     0.000  -114.000
  72  3   8  spoke   8     0.000  -130.000
  73  3   9  spoke   9     0.000  -146.000
  74  3  10  spoke  10     0.000  -162.000
  75  3  11  spoke  11     0.000  -178.000
  76  3  12  spoke  12     0.000  -194.000
  77  3  13  spoke  13     0.000  -210.000
  78  3  14  spoke  14     0.000  -226.000
  79  3  15  edge    1    13.856  -224.000
  80  3  16  edge    2    27.713  -216.000
  81  3  17  edge    3    41.569  -208.000
  82  3  18  edge    4    55.426  -200.000
  83  3  19  edge    5    69.282  -192.000
  84  3  20  edge    6    83.138  -184.000
  85  3  21  edge    7    96.995  -176.000
  86  3  22  edge    8   110.851  -168.000
  87  3  23  edge    9   124.708  -160.000
  88  3  24  edge   10   138.564  -152.000
  89  3  25  edge   11   152.421  -144.000
  90  3  26  edge   12   166.277  -136.000
  91  3  27  edge   13   180.133  -128.000
  92  3  28  edge   14   193.990  -120.000
  93  3  29  agfid   1   173.205  -164.000
  94  3  30  agfid   2    55.426  -232.000
  95  3  31  agfid   3   -55.426  -232.000
  96  3  32  agfid   4  -173.205  -164.000
