dotId,x,y,r
0,8.578932,-0.32429266,0.74856293
1,15.548419,3.574981,0.7484321
2,22.517681,7.474303,0.7482626
3,29.486687,11.373623,0.74803764
4,36.4554,15.272944,0.7477761
5,43.4242,19.17244,0.7474634
6,50.392292,23.071787,0.7470731
7,57.36022,26.971167,0.7466717
8,64.32805,30.870684,0.7462091
9,71.29537,34.77007,0.7456825
10,78.26269,38.669598,0.7451298
11,85.22961,42.56911,0.74450904
12,92.1964,46.468693,0.7438429
13,99.16303,50.368355,0.74315536
14,106.13031,54.26851,0.7424088
15,113.09802,58.169044,0.7416188
16,120.065956,62.06989,0.740798
17,127.03571,65.97183,0.7399395
18,134.00642,69.874466,0.7390339
19,140.97874,73.778114,0.7380984
20,147.95355,77.683266,0.73713624
21,154.93065,81.58983,0.736123
22,161.9111,85.49835,0.73509663
23,168.89505,89.40894,0.73404646
24,175.88414,93.32246,0.7329685
25,182.87845,97.239,0.7318824
26,189.87993,101.15955,0.7308045
27,196.89145,105.08573,0.7297478
28,8.46937,-8.303894,0.74864614
29,15.439118,-4.404457,0.74847245
30,22.408596,-0.5049435,0.74825364
31,29.377865,3.3945467,0.74799263
32,36.34676,7.294058,0.74766564
33,43.315727,11.193649,0.7473042
34,50.284214,15.093276,0.74688876
35,57.25229,18.992811,0.7464251
36,64.220245,22.892452,0.7459195
37,71.187996,26.792109,0.7453493
38,78.15528,30.691696,0.74474055
39,85.12255,34.591434,0.74407774
40,92.08952,38.49117,0.7433762
41,99.05614,42.39089,0.74261487
42,106.02334,46.290985,0.74182063
43,112.99094,50.19144,0.74098784
44,119.95884,54.092175,0.7400879
45,126.92786,57.993587,0.73918974
46,133.89836,61.895878,0.73821616
47,140.87,65.798874,0.73721427
48,147.84381,69.70313,0.7361881
49,154.82014,73.608765,0.73510987
50,161.7992,77.51597,0.7340243
51,168.78171,81.425064,0.7328814
52,175.76878,85.33661,0.7317435
53,182.76086,89.25092,0.7305603
54,189.75928,93.16861,0.72938585
55,196.76634,97.090866,0.72824824
56,8.3597975,-16.283785,0.74881625
57,15.329755,-12.384213,0.7486028
58,22.299511,-8.484568,0.7483369
59,29.268978,-4.584902,0.7480349
60,36.23813,-0.68516576,0.74765855
61,43.207253,3.214562,0.7472444
62,50.176098,7.114327,0.7467855
63,57.144337,11.014111,0.74627906
64,64.11249,14.913878,0.745722
65,71.08051,18.813742,0.74511266
66,78.04793,22.713503,0.7444501
67,85.015495,26.613436,0.74374425
68,91.98257,30.51329,0.74299407
69,98.94948,34.413197,0.74217856
70,105.91645,38.313267,0.7413393
71,112.88403,42.21368,0.74044317
72,119.85205,46.114403,0.7394999
73,126.820404,50.01545,0.7385318
74,133.7907,53.91742,0.7375097
75,140.7619,57.81998,0.7364463
76,147.73488,61.72348,0.73535585
77,154.71043,65.62833,0.7342281
78,161.68834,69.53442,0.7330558
79,168.66974,73.4423,0.73185235
80,175.65485,77.3521,0.7306391
81,182.64516,81.26455,0.72938216
82,189.64095,85.179794,0.72811496
