dotId,x,y,r
0,8.47902,-0.885015,0.7519167
1,15.479538,3.0305362,0.7519167
2,22.480064,6.946087,0.7519167
3,29.480581,10.861638,0.7519167
4,36.481106,14.777189,0.7519167
5,43.481632,18.69274,0.7519167
6,50.482143,22.608292,0.7519167
7,57.48267,26.523842,0.7519167
8,64.48319,30.439394,0.7519167
9,71.4837,34.354946,0.7519167
10,78.48423,38.270496,0.7519167
11,85.48476,42.186047,0.7519167
12,92.48527,46.101597,0.7519167
13,99.48581,50.017147,0.7519167
14,106.48632,53.9327,0.7519167
15,113.48685,57.84825,0.7519167
16,120.48737,61.7638,0.7519167
17,127.487885,65.67935,0.7519167
18,134.4884,69.5949,0.7519167
19,141.48894,73.51045,0.7519167
20,148.48944,77.426,0.7519167
21,155.48997,81.34156,0.7519167
22,162.4905,85.25711,0.7519167
23,169.49101,89.17266,0.7519167
24,176.49155,93.08821,0.7519167
25,183.49205,97.00376,0.7519167
26,190.49257,100.91931,0.7519167
27,197.4931,104.83486,0.7519167
28,8.369795,-8.906064,0.7519167
29,15.370313,-4.9905124,0.7519167
30,22.370838,-1.0749615,0.7519167
31,29.371357,2.8405895,0.7519167
32,36.371883,6.7561407,0.7519167
33,43.37241,10.671692,0.7519167
34,50.372917,14.587243,0.7519167
35,57.373444,18.502794,0.7519167
36,64.37397,22.418344,0.7519167
37,71.37448,26.333897,0.7519167
38,78.37501,30.249447,0.7519167
39,85.375534,34.164997,0.7519167
40,92.376045,38.080547,0.7519167
41,99.37659,41.9961,0.7519167
42,106.3771,45.91165,0.7519167
43,113.37762,49.8272,0.7519167
44,120.37814,53.742752,0.7519167
45,127.378654,57.658306,0.7519167
46,134.37918,61.573856,0.7519167
47,141.37971,65.4894,0.7519167
48,148.38022,69.40496,0.7519167
49,155.38074,73.32051,0.7519167
50,162.38127,77.23606,0.7519167
51,169.38177,81.15161,0.7519167
52,176.38232,85.06716,0.7519167
53,183.38283,88.98271,0.7519167
54,190.38335,92.89826,0.7519167
55,197.38388,96.81381,0.7519167
56,8.260571,-16.927113,0.7519167
57,15.261088,-13.011561,0.7519167
58,22.261614,-9.09601,0.7519167
59,29.262133,-5.180459,0.7519167
60,36.262657,-1.2649082,0.7519167
61,43.263184,2.6506429,0.7519167
62,50.263695,6.566194,0.7519167
63,57.26422,10.481745,0.7519167
64,64.26475,14.397296,0.7519167
65,71.26526,18.312847,0.7519167
66,78.265785,22.228397,0.7519167
67,85.266304,26.14395,0.7519167
68,92.266815,30.0595,0.7519167
69,99.26736,33.97505,0.7519167
